SKU_ID,Product_Name,Merchant_SKU_ID,Merchant_SKU_Name,Product_Type,Meta Category,Cost,MRP,price,Block_qty,Ordered_qty,Available_promise_qty,Total_Qty,Warehouse,TTWH,status,HSN Code,Image,Qty Sold in last 30 days,Days on Hand
FN1900468-S-PM9338,Mullen 1 Seater Sofa in Yellow Colour,AS-385-1S-Yellow-DivinePeppy-OldGold,AS-385-1S-Yellow-DivinePeppy-OldGold,simple,Furniture,9984,29499,21799,---,---,20,20,Bhiwandi WH,6,Not Live,94016100,https://i1.pepperfry.com/media/catalog/product/m/u/60x66/mullen-1-seater-sofa-in-yellow-colour-by-vittoria-mullen-1-seater-sofa-in-yellow-colour-by-vittoria-j0qqco.jpg,0,0
FN1900469-S-PM9338,Winchester Velvet Corner Sofa in Fossil Grey Colour in L Shape,AS-390L-GreyVelvet-DivineLyonGunMetal,AS-390L-GreyVelvet-DivineLyonGunMetal,simple,Furniture,43200,142499,95999,---,---,20,20,Bhiwandi WH,6,Live,94016100,https://i1.pepperfry.com/media/catalog/product/w/i/60x66/winchester-corner-sofa-in-grey-colour-by-vittoria-winchester-corner-sofa-in-grey-colour-by-vittoria-yn16zj.jpg,0,0
FN1900470-S-PM9338,Winchester Recamier in Grey Colour,AS-390-Bench-GreyVelvet,AS-390-Bench-GreyVelvet,simple,Furniture,13680,40899,30399,---,---,20,20,Bhiwandi WH,6,Live,94016100,https://i1.pepperfry.com/media/catalog/product/w/i/60x66/winchester-bench-in-grey-colour-by-vittoria-winchester-bench-in-grey-colour-by-vittoria-hpe1hy.jpg,0,0
FN1900471-S-PM9338,Cameo LHS Fabric Pull-Out Sofa Cum Bed in Brown Colour with Storage,AS-398L-B-LHS-108*68-BrownFab-Alloy515,AS-398L-B-LHS-108*68-BrownFab-Alloy515,simple,Furniture,31185,99499,69299,---,---,19,19,Bhiwandi WH,6,Live,94016100,https://i1.pepperfry.com/media/catalog/product/c/a/60x66/cameo-sofa-cum-bed-in-brown-colour-by-vittoria-cameo-sofa-cum-bed-in-brown-colour-by-vittoria-qtyh7f.jpg,1,30+
FN1900472-S-PM9338,Cameo RHS Fabric Pull-Out Sofa Cum Bed in Brown Colour with Storage,AS-398L-B-RHS-108*68-BrownFab-Alloy515,AS-398L-B-RHS-108*68-BrownFab-Alloy515,simple,Furniture,30960,99499,68799,---,---,20,20,Bhiwandi WH,6,Live,94016100,https://i1.pepperfry.com/media/catalog/product/c/a/60x66/cameo-sofa-cum-bed-in-brown-colour-by-vittoria-cameo-sofa-cum-bed-in-brown-colour-by-vittoria-anlvlc.jpg,0,0
FN1900473-S-PM9338,Cameo Velvet Pull-Out Sofa Cum Bed in Tan Colour with Hydraulic Storage,AS-398L-StitchingAtBorder-LHS-Lisa905,AS-398L-StitchingAtBorder-LHS-Lisa905,simple,Furniture,33255,99499,73899,---,---,19,19,Bhiwandi WH,6,Live,94016100,https://i1.pepperfry.com/media/catalog/product/c/a/60x66/cameo-sofa-cum-bed-in-tan-colour-by-vittoria-cameo-sofa-cum-bed-in-tan-colour-by-vittoria-2bk1ms.jpg,0,0
FN1900474-S-PM9338,Cameo RHS Pull-Out Sofa Cum Bed with Adjustable Headrest & Storage in Tan Colour,AS-398L-StitchingAtBorder-RHS-Lisa905,AS-398L-StitchingAtBorder-RHS-Lisa905,simple,Furniture,31950,99499,70999,---,---,20,20,Bhiwandi WH,6,Live,94016100,https://i1.pepperfry.com/media/catalog/product/c/a/60x66/cameo-sofa-cum-bed-in-tan-colour-by-vittoria-cameo-sofa-cum-bed-in-tan-colour-by-vittoria-xzum1q.jpg,0,0
FN1900475-S-PM9338,Ertico Leatherette 3 Seater Sofa in Grey Colour,AS-328-3S-GreyPVC,AS-328-3S-GreyPVC,simple,Furniture,18855,56399,41899,---,---,20,20,Bhiwandi WH,6,Live,94016100,https://i1.pepperfry.com/media/catalog/product/e/r/60x66/ertico-3-seater-sofa-in-grey-colour-by-vittoria-ertico-3-seater-sofa-in-grey-colour-by-vittoria-h79bbw.jpg,0,0
FN1900476-S-PM9338,Ertico Leatherette 2 Seater Sofa in Grey Colour,AS-328-2S-GreyPVC,AS-328-2S-GreyPVC,simple,Furniture,17100,51199,37999,---,---,20,20,Bhiwandi WH,6,Live,94016100,https://i1.pepperfry.com/media/catalog/product/e/r/60x66/ertico-2-seater-sofa-in-grey-colour-by-vittoria-ertico-2-seater-sofa-in-grey-colour-by-vittoria-nx4fgd.jpg,0,0
FN1903175-S-PM9338,Lovin Fabric 2 Seater Sofa in Beige Colour,1000010087724_9338,Helios Mendoza Two Seater Sofa_9338,simple,Furniture,13632,39999,29699,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/l/o/60x66/lovin-fabric-2-seater-sofa-in-beige-colour-lovin-fabric-2-seater-sofa-in-beige-colour-kfzara.jpg,0,0
