SKU_ID,Product_Name,Merchant_SKU_ID,Merchant_SKU_Name,Product_Type,"Meta Category",Cost,MRP,price,Block_qty,Ordered_qty,Available_promise_qty,Total_Qty,Warehouse,TTWH,status,"HSN Code",Image,"Qty Sold in last 30 days"
FN2102267-S-WH32516,"3 Seater Sofa Royal Blue Velvet_Pm9338","AS-572-3S-BlueVelvet _","AS-572-3S-BlueVelvet _",simple,Furniture,25252,88399,62221,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102268-S-WH32516,"2 Seater Sofa Royal Blue Velvet_Pm9338","AS-572-2S-BlueVelvet _","AS-572-2S-BlueVelvet _",simple,Furniture,21476,75149,53332,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102269-S-WH32516,"1 Seater Sofa Royal Blue Velvet_Pm9338","AS-572-1S-BlueVelvet _","AS-572-1S-BlueVelvet _",simple,Furniture,17582,61549,43888,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102270-S-WH32516,"3 Seater Sofa Blush Pink Velvet_Pm9338",AS-573-3S-BlushVelvet_,AS-573-3S-BlushVelvet_,simple,Furniture,22774,79699,56110,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102271-S-WH32516,"2 Seater Sofa Blush Pink Velvet_Pm9338",AS-573-2S-BlushVelvet_,AS-573-2S-BlushVelvet_,simple,Furniture,19706,68949,48888,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102272-S-WH32516,"1 Seater Sofa Blush Pink Velvet_Pm9338",AS-573-1S-BlushVelvet_,AS-573-1S-BlushVelvet_,simple,Furniture,15930,55749,40554,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102273-S-WH32516,"3 Seater Sofa Grey Velvet_Pm9338",AS-573-3S-GreyVelvet_,AS-573-3S-GreyVelvet_,simple,Furniture,22774,79699,56110,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102277-S-WH32516,"2 Seater Sofa Teal Blue Velvet_Pm9338",AS-573-2S-TealVelvet_,AS-573-2S-TealVelvet_,simple,Furniture,19706,68949,48888,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102285-S-WH32516,"3 Seater Sofa Moss Green Velvet_Pm9338",AS-573-3S-MossGreenVelvet_,AS-573-3S-MossGreenVelvet_,simple,Furniture,22774,79699,56110,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102214-S-WH32516,"2 Seater Sofa Teal Blue Velvet_Pm9338",AS-570-2S-Teal+Grey_,AS-570-2S-Teal+Grey_,simple,Furniture,17110,59899,42777,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102215-S-WH32516,"1 Seater Sofa Teal Blue Velvet_Pm9338",AS-570-1S-Teal+Grey_,AS-570-1S-Teal+Grey_,simple,Furniture,13924,48749,34443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102218-S-WH32516,"1 Seater Sofa Green Velvet_Pm9338",AS-570-1S-MossGreen+Beige_,AS-570-1S-MossGreen+Beige_,simple,Furniture,13924,48749,34443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102219-S-WH32516,"3 Seater Sofa Violet Velvet_Pm9338",AS-570-3S-Violets_,AS-570-3S-Violets_,simple,Furniture,20296,71049,49999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102249-S-WH32516,"3 Seater Sofa Royal Blue Velvet_Pm9338",AS-523-3S-RoyalBlue_,AS-523-3S-RoyalBlue_,simple,Furniture,21948,76799,54443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102250-S-WH32516,"2 Seater Sofa Royal Blue Velvet_Pm9338",AS-523-2S-RoyalBlue_,AS-523-2S-RoyalBlue_,simple,Furniture,18054,63199,44999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102252-S-WH32516,"3 Seater Sofa Beige Velvet_Pm9338",AS-523-3S-BeigeVelvet_,AS-523-3S-BeigeVelvet_,simple,Furniture,21948,76799,54443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102254-S-WH32516,"1 Seater Sofa Beige Velvet_Pm9338",AS-523-1S-BeigeVelvet_,AS-523-1S-BeigeVelvet_,simple,Furniture,13924,48749,34443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102257-S-WH32516,"1 Seater Sofa Wine Red Velvet_Pm9338",AS-523-1S-WineVelvet_,AS-523-1S-WineVelvet_,simple,Furniture,13924,48749,34443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102258-S-WH32516,"3 Seater Sofa Beige Velvet_Pm9338","AS-572-3S-Beige _","AS-572-3S-Beige _",simple,Furniture,25252,88399,62221,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102221-S-WH32516,"1 Seater Sofa Violet Velvet_Pm9338",AS-570-1S-Violets_,AS-570-1S-Violets_,simple,Furniture,13924,48749,34443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102223-S-WH32516,"2 Seater Sofa Blue Velvet_Pm9338",AS-570-2S-Blue+BiscuitBeige_,AS-570-2S-Blue+BiscuitBeige_,simple,Furniture,17110,59899,42777,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102224-S-WH32516,"1 Seater Sofa Blue Velvet_Pm9338",AS-570-1S-Blue+BiscuitBeige_,AS-570-1S-Blue+BiscuitBeige_,simple,Furniture,13924,48749,34443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102251-S-WH32516,"1 Seater Sofa Royal Blue Velvet_Pm9338",AS-523-1S-RoyalBlue_,AS-523-1S-RoyalBlue_,simple,Furniture,13924,48749,34443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102255-S-WH32516,"3 Seater Sofa Wine Red Velvet_Pm9338",AS-523-3S-WineVelvet_,AS-523-3S-WineVelvet_,simple,Furniture,21948,76799,54443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102259-S-WH32516,"2 Seater Sofa Beige Velvet_Pm9338","AS-572-2S-Beige _","AS-572-2S-Beige _",simple,Furniture,21476,75149,53332,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102216-S-WH32516,"3 Seater Sofa Green Velvet_Pm9338",AS-570-3S-MossGreen+Beige_,AS-570-3S-MossGreen+Beige_,simple,Furniture,20296,71049,49999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102217-S-WH32516,"2 Seater Sofa Green Velvet_Pm9338",AS-570-2S-MossGreen+Beige_,AS-570-2S-MossGreen+Beige_,simple,Furniture,17110,59899,42777,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102220-S-WH32516,"2 Seater Sofa Violet Velvet_Pm9338",AS-570-2S-Violets_,AS-570-2S-Violets_,simple,Furniture,17110,59899,42777,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102222-S-WH32516,"3 Seater Sofa Blue Velvet_Pm9338",AS-570-3S-Blue+BiscuitBeige_,AS-570-3S-Blue+BiscuitBeige_,simple,Furniture,20296,71049,49999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102246-S-WH32516,"3 Seater Sofa Teal Blue Velvet_Pm9338",AS-523-3S-Teal_,AS-523-3S-Teal_,simple,Furniture,21948,76799,54443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102247-S-WH32516,"2 Seater Sofa Teal Blue Velvet_Pm9338",AS-523-2S-Teal_,AS-523-2S-Teal_,simple,Furniture,18054,63199,44999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102248-S-WH32516,"1 Seater Sofa Teal Blue Velvet_Pm9338",AS-523-1S-Teal_,AS-523-1S-Teal_,simple,Furniture,13924,48749,34443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102253-S-WH32516,"2 Seater Sofa Beige Velvet_Pm9338",AS-523-2S-BeigeVelvet_,AS-523-2S-BeigeVelvet_,simple,Furniture,18054,63199,44999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102256-S-WH32516,"2 Seater Sofa Wine Red Velvet_Pm9338",AS-523-2S-WineVelvet_,AS-523-2S-WineVelvet_,simple,Furniture,18054,63199,44999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102212-S-WH32516,"1 Seater Sofa Red Velvet_Pm9338",AS-570-1S-Red+Beige_,AS-570-1S-Red+Beige_,simple,Furniture,13924,48749,34443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102142-S-WH32516,"1 Seater Sofa Purple Velvet_Pm9338",AS-565-1S-PurpleVelvet_,AS-565-1S-PurpleVelvet_,simple,Furniture,14750,51649,36666,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102192-S-WH32516,"3 Seater Sofa Cream Leatherette_PM9338",AS-569-3S-CreamBrownPVC_,AS-569-3S-CreamBrownPVC_,simple,Furniture,23010,80549,56666,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102194-S-WH32516,"3 Seater Sofa Beige Leatherette_PM9338",AS-569-3S-CamelBeigePVC_,AS-569-3S-CamelBeigePVC_,simple,Furniture,23010,80549,56666,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102200-S-WH32516,"3 Seater Sofa Red Velvet_Pm9338",AS-569-3S-Red+Beige_,AS-569-3S-Red+Beige_,simple,Furniture,23010,80549,56666,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102207-S-WH32516,"3 Seater Sofa Blush Velvet_Pm9338",AS-570-3S-Blush+AshGrey_,AS-570-3S-Blush+AshGrey_,simple,Furniture,20296,71049,49999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102211-S-WH32516,"2 Seater Sofa Red Velvet_Pm9338",AS-570-2S-Red+Beige_,AS-570-2S-Red+Beige_,simple,Furniture,17110,59899,42777,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102197-S-WH32516,"2 Seater Sofa Grey Velvet_Pm9338",AS-569-2S-DarkGrey.Beige_,AS-569-2S-DarkGrey.Beige_,simple,Furniture,19470,68149,48888,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102199-S-WH32516,"2 Seater Sofa Grey Velvet_Pm9338",AS-569-2S-DarkGrey.Blush_,AS-569-2S-DarkGrey.Blush_,simple,Furniture,19470,68149,48888,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102201-S-WH32516,"2 Seater Sofa Red Velvet_Pm9338",AS-569-2S-Red+Beige_,AS-569-2S-Red+Beige_,simple,Furniture,19470,68149,48888,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102203-S-WH32516,"2 Seater Sofa Green Velvet_Pm9338",AS-569-2S-DarkGreen+Beige_,AS-569-2S-DarkGreen+Beige_,simple,Furniture,19470,68149,48888,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102205-S-WH32516,"2 Seater Sofa Blue Velvet_Pm9338",AS-570-2S-PowderBlue+AshGrey_,AS-570-2S-PowderBlue+AshGrey_,simple,Furniture,17110,59899,42777,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102206-S-WH32516,"1 Seater Sofa Blue Velvet_Pm9338",AS-570-1S-PowderBlue+AshGrey_,AS-570-1S-PowderBlue+AshGrey_,simple,Furniture,13924,48749,34443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102208-S-WH32516,"2 Seater Sofa Blush Velvet_Pm9338",AS-570-2S-Blush+AshGrey_,AS-570-2S-Blush+AshGrey_,simple,Furniture,17110,59899,42777,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102209-S-WH32516,"1 Seater Sofa Blush Velvet_Pm9338",AS-570-1S-Blush+AshGrey_,AS-570-1S-Blush+AshGrey_,simple,Furniture,13924,48749,34443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102210-S-WH32516,"3 Seater Sofa Red Velvet_Pm9338",AS-570-3S-Red+Beige_,AS-570-3S-Red+Beige_,simple,Furniture,20296,71049,49999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102213-S-WH32516,"3 Seater Sofa Teal Blue Velvet_Pm9338",AS-570-3S-Teal+Grey_,AS-570-3S-Teal+Grey_,simple,Furniture,20296,71049,49999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102143-S-WH32516,"3 Seater Sofa Green Velvet_Pm9338",AS-566-3S-PrintedFab1_,AS-566-3S-PrintedFab1_,simple,Furniture,20060,70199,49999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102144-S-WH32516,"2 Seater Sofa Green Velvet_Pm9338",AS-566-2S-PrintedFab1_,AS-566-2S-PrintedFab1_,simple,Furniture,16756,58649,41666,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102145-S-WH32516,"1 Seater Sofa Green Velvet_Pm9338",AS-566-1S-PrintedFab1_,AS-566-1S-PrintedFab1_,simple,Furniture,13570,47499,34443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102193-S-WH32516,"2 Seater Sofa Cream Leatherette_PM9338",AS-569-2S-CreamBrownPVC_,AS-569-2S-CreamBrownPVC_,simple,Furniture,19470,68149,48888,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102196-S-WH32516,"3 Seater Sofa Grey Velvet_Pm9338",AS-569-3S-DarkGrey.Beige_,AS-569-3S-DarkGrey.Beige_,simple,Furniture,23010,80549,56666,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102198-S-WH32516,"3 Seater Sofa Grey Velvet_Pm9338",AS-569-3S-DarkGrey.Blush_,AS-569-3S-DarkGrey.Blush_,simple,Furniture,23010,80549,56666,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102202-S-WH32516,"3 Seater Sofa Green Velvet_Pm9338",AS-569-3S-DarkGreen+Beige_,AS-569-3S-DarkGreen+Beige_,simple,Furniture,23010,80549,56666,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102204-S-WH32516,"3 Seater Sofa Blue Velvet_Pm9338",AS-570-3S-PowderBlue+AshGrey_,AS-570-3S-PowderBlue+AshGrey_,simple,Furniture,20296,71049,49999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102130-S-WH32516,"1 Seater Sofa Powder Blue Velvet_Pm9338",AS-565-1S-PowderBlueVelvet_,AS-565-1S-PowderBlueVelvet_,simple,Furniture,14750,51649,36666,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102134-S-WH32516,"3 Seater Sofa Dark Red Velvet_Pm9338",AS-565-3S-DarkRedVelvet_,AS-565-3S-DarkRedVelvet_,simple,Furniture,21948,76799,54443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102141-S-WH32516,"2 Seater Sofa Purple Velvet_Pm9338",AS-565-2S-PurpleVelvet_,AS-565-2S-PurpleVelvet_,simple,Furniture,18290,63999,44999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102139-S-WH32516,"1 Seater Sofa Rust Velvet_Pm9338",AS-565-1S-RustVelvet_,AS-565-1S-RustVelvet_,simple,Furniture,14750,51649,36666,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102140-S-WH32516,"3 Seater Sofa Purple Velvet_Pm9338",AS-565-3S-PurpleVelvet_,AS-565-3S-PurpleVelvet_,simple,Furniture,21948,76799,54443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102317-S-WH32516,"2 Seater Sofa Teal Blue Velvet_Pm9338",AS-524-2S-TealVelvet_,AS-524-2S-TealVelvet_,simple,Furniture,17110,59899,42777,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102375-S-WH32516,"3 Seater Sofa Cream Leatherette_PM9338",AS-565-3S-CreamPVC_,AS-565-3S-CreamPVC_,simple,Furniture,27730,90000,67777,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102303-S-WH32516,"2 Seater Sofa Blush Pink Boucle Fabric_PM9338",AS-576-2S-HimalayaBlush_,AS-576-2S-HimalayaBlush_,simple,Furniture,23600,82599,58332,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102304-S-WH32516,"1 Seater Sofa Blush Pink Boucle Fabric_PM9338",AS-576-1S-HimalayaBlush_,AS-576-1S-HimalayaBlush_,simple,Furniture,23600,82599,58332,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102376-S-WH32516,"2 Seater Sofa Cream Leatherette_PM9338",AS-565-2S-CreamPVC_,AS-565-2S-CreamPVC_,simple,Furniture,23954,83999,59443,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102163-S-WH32516,"1 Seater Sofa Chestnut Brown Fabric_PM9338",AS-567-1S-ChestnutBrown_,AS-567-1S-ChestnutBrown_,simple,Furniture,11682,40899,29999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102167-S-WH32516,"3 Seater Sofa Brown Leatherette_PM9338",AS-515-3S-D.brownPVC_,AS-515-3S-D.brownPVC_,simple,Furniture,21712,75999,53888,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102169-S-WH32516,"1 Seater Sofa Brown Leatherette_PM9338",AS-515-1S-D.brownPVC_,AS-515-1S-D.brownPVC_,simple,Furniture,14396,50399,35554,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102171-S-WH32516,"2 Seater Sofa Tan Leatherette_PM9338",AS-515-2S-TanPVC_,AS-515-2S-TanPVC_,simple,Furniture,17936,62799,44999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,https://i1.pepperfry.com/media/catalog/product/2/-/60x66/2-seater-sofa-tan-leatherette_pm9338-2-seater-sofa-tan-leatherette_pm9338-bcysk5.jpg,0
FN2102177-S-WH32516,"2 Seater Sofa Blue  Suede Fabric_PM9338",AS-515-2S-SuedeBlue_,AS-515-2S-SuedeBlue_,simple,Furniture,17936,62799,44999,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102179-S-WH32516,"3 Seater Sofa Beige  Suede Fabric_PM9338",AS-515-3S-SuedeBeige_,AS-515-3S-SuedeBeige_,simple,Furniture,21712,75999,53888,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102182-S-WH32516,"3 Seater Sofa Beige  Suede Fabric_PM9338",AS-568-3S-SuedeBeige_,AS-568-3S-SuedeBeige_,simple,Furniture,25370,88799,63332,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102186-S-WH32516,"3 Seater Sofa Blue  Suede Fabric_PM9338",AS-568-3S-SuedeBlue_,AS-568-3S-SuedeBlue_,simple,Furniture,25370,88799,63332,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102195-S-WH32516,"2 Seater Sofa Beige Leatherette_PM9338",AS-569-2S-CamelBeigePVC_,AS-569-2S-CamelBeigePVC_,simple,Furniture,19470,68149,48888,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102299-S-WH32516,"3 Seater Sofa Beige Boucle Fabric_PM9338",AS-576-3S-HimalayaBeige_,AS-576-3S-HimalayaBeige_,simple,Furniture,23600,82599,58332,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
FN2102302-S-WH32516,"3 Seater Sofa Blush Pink Boucle Fabric_PM9338",AS-576-3S-HimalayaBlush_,AS-576-3S-HimalayaBlush_,simple,Furniture,23600,82599,58332,---,---,---,0,"Bhiwandi WH",0,"Out of Stock",94036000,,0
